ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
1,0,17,female,3,3,2,2,2,3,2,2,2,2,4,2,1,2,2,3,2,2,3,3,2,3,7,7
2,1,19,female,4,1,1,1,1,4,1,1,2,1,4,1,2,2,2,3,1,1,1,1,1,2,3,4
3,0,23,male,3,2,2,2,2,4,1,1,1,2,4,1,1,1,1,4,4,1,1,1,2,3,4,5
4,0,23,male,3,1,1,1,1,3,3,1,2,2,4,4,4,4,4,4,1,1,1,1,1,2,3,4
5,1,10,female,4,1,1,4,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,2,3,4
6,1,12,male,3,1,2,1,2,3,1,1,1,1,4,2,2,1,1,3,1,1,2,2,2,3,4,5
7,0,6,male,4,1,1,2,2,3,2,2,2,2,3,2,1,2,2,3,2,2,2,2,2,3,4,5
8,0,22,male,3,2,2,2,2,4,3,1,3,3,4,2,1,1,3,3,2,3,1,2,2,3,4,5
9,0,17,male,4,1,1,1,1,4,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,2,8,3,NA
10,1,12,female,4,1,1,2,1,4,1,1,1,1,4,1,2,2,2,4,2,1,1,1,1,2,1,2
11,1,5,female,3,2,1,3,2,3,3,1,1,1,3,3,1,1,1,NA,NA,NA,NA,NA,2,3,7,NA
12,1,13,female,3,2,1,2,2,3,2,2,2,2,3,2,3,3,3,3,3,2,2,3,1,2,3,4
13,0,24,female,3,1,2,2,2,4,1,1,1,1,3,2,4,3,2,3,2,3,2,3,1,2,2,8
14,0,15,female,3,3,1,NA,2,NA,NA,NA,NA,NA,3,2,2,2,2,NA,NA,NA,NA,NA,2,NA,8,NA
15,1,13,female,3,2,2,2,2,3,3,2,2,2,3,4,2,2,2,3,2,2,2,2,1,2,7,8
16,1,9,male,4,2,2,1,2,3,2,1,1,2,3,2,1,1,1,3,2,1,1,2,1,2,3,4
17,0,21,female,3,1,1,2,2,4,1,2,2,1,4,1,1,2,2,4,2,1,2,2,1,1,1,2
18,1,4,female,3,1,2,1,2,3,1,2,1,2,3,1,2,1,2,3,1,1,1,1,1,1,2,3
19,0,22,male,3,3,2,2,2,4,1,1,1,1,3,2,2,1,3,3,3,1,1,1,2,3,4,4
20,0,15,male,3,1,1,2,1,4,4,1,4,4,4,2,1,1,3,3,3,2,2,2,2,3,3,4
21,1,13,male,3,3,2,1,4,3,2,1,2,1,3,1,1,1,1,NA,NA,NA,NA,NA,1,1,3,NA
22,0,23,female,4,1,1,1,1,4,2,1,2,1,4,2,1,1,1,NA,NA,NA,NA,NA,2,3,7,NA
23,1,1,male,3,2,1,2,2,4,2,3,3,2,3,1,1,1,1,NA,NA,NA,NA,NA,1,2,3,NA
24,0,24,female,3,2,3,3,3,3,3,2,4,4,4,3,3,3,3,NA,NA,NA,NA,NA,1,1,1,NA
25,1,1,male,4,1,1,1,1,4,1,1,1,1,4,3,1,1,1,4,2,1,1,1,2,3,4,5
26,0,20,male,4,2,1,2,1,3,2,2,4,4,4,1,1,1,1,4,2,1,3,2,1,1,3,8
27,1,4,male,4,3,3,1,3,3,3,2,1,3,4,2,1,1,1,4,1,1,4,2,2,3,4,5
28,1,12,female,4,1,1,2,2,4,1,1,1,1,3,2,1,2,2,4,1,2,2,2,1,2,3,4
29,0,17,female,4,2,1,1,1,3,3,1,3,3,3,4,4,4,4,4,4,4,4,4,1,1,2,2
30,0,20,female,3,3,3,4,3,3,2,1,2,1,3,2,1,2,2,3,3,1,1,1,2,3,4,5
31,0,2,female,4,1,1,1,1,3,4,4,4,4,4,1,1,1,1,3,3,4,4,4,1,2,3,4
32,1,1,female,4,2,3,4,4,4,1,1,1,1,4,1,1,1,1,4,2,3,2,4,1,8,8,2
33,0,22,male,4,2,1,2,1,4,1,1,1,2,NA,NA,NA,NA,NA,4,1,1,1,1,1,2,NA,4
34,1,19,female,3,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,3,1,3,1,1,2,3,4
35,0,22,male,4,1,2,2,1,4,2,2,2,1,3,2,1,2,1,4,2,2,1,1,1,2,3,4
36,1,1,female,3,1,2,1,1,3,1,2,1,1,3,2,2,2,2,3,2,2,2,4,1,2,3,4
37,0,15,female,4,2,1,1,4,4,2,3,1,2,4,1,1,1,1,3,3,3,3,2,2,2,3,8
38,0,8,male,4,1,1,1,1,4,1,3,3,1,4,1,1,1,1,3,2,2,3,2,1,1,2,3
39,1,9,male,3,2,2,2,2,3,3,2,3,1,3,3,4,3,4,3,4,2,3,1,2,3,4,5
40,0,11,male,4,1,1,1,1,3,1,1,2,2,3,2,1,1,1,3,2,2,2,2,1,1,2,3
41,0,22,female,4,1,2,1,2,3,3,1,2,1,3,3,3,3,3,3,1,1,2,3,1,1,4,2
42,0,15,male,3,1,1,4,4,3,3,1,4,4,3,3,3,3,3,4,4,3,4,4,2,3,3,8
43,1,26,female,3,4,2,2,3,3,1,4,4,4,4,2,1,3,1,3,3,3,3,4,1,2,8,7
44,0,11,male,3,1,4,4,3,4,1,1,2,1,4,1,3,1,1,3,2,1,2,1,2,1,2,3
45,0,11,male,3,1,1,2,2,3,1,1,1,1,3,2,1,1,1,3,3,1,1,2,2,3,4,5
46,0,2,male,3,1,1,2,1,4,3,1,4,4,3,2,1,2,1,4,1,1,1,1,2,3,4,5
47,0,7,female,3,2,3,2,2,3,2,2,2,2,3,2,2,2,3,4,4,4,4,4,1,1,2,3
48,0,2,male,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,1,2,2,1,2,3,4
49,1,12,male,4,1,1,1,1,4,2,1,2,1,4,1,1,1,1,4,2,1,1,1,1,2,3,4
50,0,2,female,3,2,2,1,1,4,3,2,4,3,NA,NA,NA,NA,NA,3,4,1,4,3,1,2,NA,2
51,1,1,male,3,2,3,4,1,4,4,4,4,4,3,2,3,4,2,3,2,2,2,3,1,1,1,3
52,1,16,male,4,1,1,1,1,4,1,1,1,1,3,1,1,1,2,4,1,1,1,1,1,2,2,3
53,1,1,female,4,1,1,1,1,4,1,1,1,1,4,2,1,1,1,4,1,2,1,2,2,3,4,5
54,0,11,male,3,3,1,1,1,4,1,1,1,1,3,3,4,2,4,3,2,2,3,3,1,2,8,8
55,1,16,female,4,1,1,2,4,4,1,1,2,2,3,2,3,3,2,NA,NA,NA,NA,NA,1,2,3,NA
56,0,7,female,4,1,1,2,3,4,1,1,2,1,4,2,1,1,2,3,2,1,1,1,1,2,8,4
57,0,22,male,4,2,1,2,4,3,1,1,2,1,4,1,1,1,1,3,2,1,2,2,1,1,8,2
58,0,22,male,4,NA,1,1,1,3,1,1,2,1,3,2,1,1,2,4,1,2,2,1,1,2,3,4
59,0,17,male,4,1,2,1,2,4,3,2,3,1,3,3,3,3,4,3,2,2,2,2,1,2,2,4
60,1,14,female,3,3,3,2,3,3,2,2,3,1,3,3,2,1,1,NA,NA,NA,NA,NA,2,3,8,NA
61,0,11,male,3,2,1,2,1,3,1,2,3,2,3,2,1,2,1,3,1,1,2,2,1,2,8,8
62,0,22,female,3,3,4,4,4,4,3,4,2,3,4,1,2,1,2,3,2,1,2,3,1,1,1,2
63,0,2,female,3,4,2,4,2,3,2,3,2,3,4,3,3,3,4,3,2,2,2,3,1,1,1,8
64,0,2,female,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
65,0,6,male,4,3,2,4,2,4,1,1,1,2,4,1,1,1,1,3,2,2,2,3,1,2,8,4
66,0,22,female,4,3,1,3,2,4,2,1,1,1,3,3,1,1,2,3,3,2,2,2,1,1,2,8
67,1,10,male,3,1,1,1,1,3,1,1,2,1,4,3,2,2,2,3,2,2,3,2,1,2,3,4
68,0,8,male,4,3,1,1,1,4,1,1,2,1,3,1,2,2,2,4,2,2,2,2,1,2,3,4
69,0,6,male,3,2,1,1,1,3,1,1,1,1,3,3,1,2,2,4,1,1,2,1,1,1,2,3
70,1,4,male,4,1,2,4,3,4,4,1,4,4,4,1,1,1,1,4,1,1,1,1,2,3,4,5
71,1,1,male,4,1,2,1,2,4,1,1,1,1,4,1,2,1,2,4,1,1,1,1,1,2,3,4
72,1,10,male,3,1,2,4,3,4,2,1,2,4,3,2,4,1,1,4,2,1,1,2,1,2,3,4
73,1,5,male,4,1,1,1,1,3,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,2,3
74,1,26,male,3,2,2,2,2,3,3,4,4,4,4,4,3,4,4,3,4,3,4,4,2,2,3,4
75,1,18,female,4,4,1,1,1,3,4,1,1,1,3,1,4,1,4,3,3,1,1,4,2,3,4,5
76,1,1,female,3,2,1,2,3,3,4,1,2,3,3,2,1,3,3,4,3,1,2,3,1,2,3,4
77,1,14,female,3,1,2,2,1,4,2,1,2,4,4,2,1,1,1,NA,NA,NA,NA,NA,2,3,8,NA
78,0,2,female,3,2,1,1,2,3,1,1,2,3,3,2,1,1,2,3,1,4,1,2,1,2,3,4
79,1,14,female,3,1,2,2,1,3,3,1,3,3,3,2,1,4,1,3,1,1,2,1,2,3,4,5
80,0,8,male,4,1,1,1,1,4,1,1,1,1,4,1,4,2,4,4,4,4,3,4,1,2,3,3
81,0,6,male,4,1,1,1,1,3,2,1,2,4,3,2,1,3,3,4,4,1,4,4,1,2,3,4
82,0,20,female,3,3,2,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,2,8
83,1,1,male,3,2,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2,3,4,5
84,0,22,female,3,1,2,2,2,3,2,3,2,2,4,4,1,3,1,NA,NA,NA,NA,NA,2,8,7,NA
85,1,18,female,3,3,1,2,2,3,2,2,1,2,3,2,1,1,1,3,2,2,2,2,1,2,3,8
86,0,11,male,4,1,1,1,1,4,1,1,1,1,3,2,1,2,1,4,1,1,1,1,1,2,2,4
87,0,2,female,4,2,2,4,4,4,1,3,1,2,4,4,3,4,3,4,4,3,3,4,2,2,2,2
88,1,9,male,3,2,2,2,NA,3,2,2,2,2,3,2,2,2,2,3,2,1,2,2,2,3,4,5
89,1,10,male,3,3,1,2,2,3,3,1,3,4,3,2,3,2,3,3,2,3,2,3,2,3,4,5
90,1,12,male,3,2,1,2,2,4,3,1,2,1,3,1,1,2,1,4,2,1,2,1,2,3,4,5
91,1,5,male,3,2,4,2,1,4,2,1,2,2,4,4,1,3,1,3,2,2,1,1,2,3,4,5
92,1,10,male,3,1,1,2,2,3,1,2,2,3,3,4,4,3,4,4,1,2,2,2,1,2,4,4
93,1,13,female,4,4,2,4,2,4,3,3,3,3,4,1,2,1,2,NA,NA,NA,NA,NA,1,2,3,NA
94,0,24,female,3,1,1,1,1,3,2,2,3,2,3,2,2,1,2,3,1,1,2,2,2,2,3,4
95,1,13,male,4,1,1,1,1,3,2,2,2,2,3,2,2,1,2,3,2,2,2,1,2,3,4,4
96,0,21,male,3,3,1,3,2,3,3,2,4,4,3,3,1,3,3,3,2,1,1,4,1,2,3,4
97,1,1,female,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,2,3,4
98,0,17,male,3,1,1,1,1,4,1,2,2,2,3,2,2,2,2,4,2,1,1,2,1,1,2,3
99,1,18,female,4,3,1,1,1,3,3,1,2,3,4,1,1,1,1,NA,NA,NA,NA,NA,2,2,8,NA
100,1,12,female,3,3,2,4,3,3,3,1,2,2,3,2,2,2,3,4,2,2,2,3,1,2,3,4
101,0,20,female,3,3,1,4,2,3,2,1,2,4,4,2,1,3,2,3,2,1,2,3,2,3,4,8
102,1,18,female,3,3,3,3,3,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,2,3,4,5
103,1,16,male,3,1,2,NA,NA,4,1,1,1,1,4,1,1,1,2,3,1,1,2,1,1,2,3,4
104,0,25,male,3,1,1,2,2,3,1,2,2,1,3,4,2,1,2,3,2,2,2,1,1,2,8,4
105,1,13,female,3,1,1,1,1,4,2,1,1,1,3,1,2,2,2,3,2,2,2,1,1,2,3,4
106,0,17,male,4,4,1,1,4,NA,NA,NA,NA,NA,3,3,1,1,3,NA,NA,NA,NA,NA,1,NA,2,NA
107,0,23,male,4,2,1,1,1,3,2,3,2,1,3,1,2,2,3,3,2,2,2,1,2,2,4,4
108,1,18,female,4,1,1,1,1,4,1,1,1,1,3,3,2,2,4,3,2,1,2,1,2,3,4,5
109,1,3,female,3,3,1,1,1,3,2,1,2,1,3,2,2,2,2,3,2,3,1,2,2,3,4,5
110,1,12,female,3,1,1,1,1,4,1,1,1,1,4,1,2,1,1,4,1,1,1,1,2,3,4,5
111,0,2,male,4,1,1,1,1,4,1,2,1,3,4,1,1,1,1,4,1,1,1,2,1,1,2,3
112,0,17,female,3,1,2,2,2,4,1,1,1,1,4,1,1,1,1,3,2,2,2,2,1,1,8,1
113,0,24,male,4,2,NA,NA,NA,4,2,2,4,4,4,1,1,1,1,4,2,1,2,2,2,3,1,5
114,0,7,female,4,1,1,4,1,4,1,2,3,3,3,1,1,1,1,NA,NA,NA,NA,NA,2,2,4,NA
115,1,10,male,3,4,4,3,3,4,4,4,4,4,3,2,4,4,4,3,3,4,3,3,1,1,2,3
116,0,15,male,4,2,3,3,3,3,2,1,1,1,3,2,2,4,2,3,2,2,2,2,2,3,4,5
117,1,3,male,4,3,1,1,1,4,4,1,1,1,4,1,1,1,1,4,1,1,1,2,1,2,3,4
118,1,4,male,3,2,2,1,1,3,3,2,3,3,3,2,3,2,2,3,3,3,2,2,2,3,4,5
119,0,15,female,4,1,1,1,2,4,1,1,1,2,4,3,3,3,4,3,1,2,1,2,1,3,3,8
120,0,7,male,3,2,2,3,4,4,3,1,2,3,3,2,3,2,4,3,2,2,2,3,1,2,8,8
121,0,21,female,4,2,1,1,1,4,1,1,1,1,3,1,1,2,3,4,4,1,1,1,1,2,3,4
122,1,18,male,4,1,1,1,2,3,3,3,2,2,4,1,4,1,1,3,2,2,1,4,1,2,3,4
123,0,11,female,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,3,1,4,3,2,2,3,8,5
124,0,20,female,4,1,1,1,1,4,1,1,1,1,4,2,1,1,1,NA,NA,NA,NA,NA,1,1,4,NA
125,0,22,female,3,2,2,3,2,3,3,3,3,2,4,1,1,1,1,NA,NA,NA,NA,NA,2,8,4,NA
126,1,26,female,3,2,2,4,2,3,3,2,3,2,4,1,1,1,1,3,4,2,1,2,1,2,8,7
127,0,2,female,3,2,1,2,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,2,3,4,4
128,0,24,female,3,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,2,2,3,8
129,1,3,male,4,1,2,1,2,4,1,1,1,2,3,3,1,1,1,3,2,2,1,1,2,3,4,5
130,0,8,female,4,3,2,2,2,3,2,1,2,1,4,4,4,4,4,3,3,3,4,3,2,3,4,5
131,0,2,female,3,2,2,2,4,3,4,4,4,4,3,2,1,2,3,3,1,1,1,2,1,2,3,4
132,1,18,male,3,2,2,2,2,3,1,1,2,1,3,1,1,1,1,NA,NA,NA,NA,NA,2,2,3,NA
133,1,10,male,3,2,1,2,2,3,3,2,2,1,4,2,1,1,1,NA,1,1,1,1,2,3,4,5
134,1,18,male,3,2,2,2,1,4,4,3,3,2,3,1,3,1,3,3,3,4,3,3,2,3,4,5
135,0,20,male,3,3,2,2,1,3,2,2,2,1,3,2,3,3,3,3,3,3,2,3,2,3,4,5
136,0,15,female,3,2,4,2,1,4,1,2,1,2,3,2,4,4,2,3,2,4,2,4,2,3,4,5
137,0,23,female,4,1,2,2,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,1,2,3,4,5
138,0,23,male,3,2,2,2,2,3,1,3,4,2,4,2,1,2,1,4,4,3,4,4,1,2,2,4
139,0,2,male,3,2,1,3,3,4,1,1,1,4,4,1,1,2,1,4,1,4,1,4,1,2,8,4
140,0,22,male,3,1,1,4,1,3,1,3,4,3,3,3,2,3,2,3,2,2,2,2,1,2,3,5
141,1,1,male,4,1,1,1,1,4,1,1,1,2,4,1,1,1,1,4,1,1,1,1,1,2,3,4
142,0,11,male,3,4,2,1,4,4,1,1,1,1,4,1,2,1,1,4,2,1,2,3,1,1,1,2
143,0,25,male,3,2,1,2,1,3,2,1,1,2,3,2,2,2,2,3,2,1,2,2,2,3,4,5
144,1,10,male,NA,1,1,1,1,3,1,1,3,2,NA,3,1,2,1,3,2,1,3,2,1,1,2,8
145,0,25,male,4,4,4,4,4,4,2,1,2,2,3,4,3,4,4,3,4,3,3,4,2,1,2,3
146,1,1,male,4,2,1,1,1,3,2,2,3,2,3,1,1,1,1,4,1,1,1,1,2,3,4,5
147,1,19,female,4,1,1,3,1,3,2,2,2,2,3,2,2,1,1,3,2,2,2,1,2,7,7,8
148,1,16,female,3,1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,3,2,3,2,1,2,3,4
149,0,22,female,3,1,1,1,2,4,3,1,1,2,3,2,1,2,3,4,2,1,3,3,1,8,2,8
150,0,24,male,4,1,1,2,2,4,1,1,3,2,4,2,1,4,3,3,2,1,2,2,2,2,4,4
151,1,12,male,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,2,7,7
152,0,24,female,3,2,1,2,1,3,1,1,1,2,4,1,2,2,2,NA,NA,NA,NA,NA,1,8,3,NA
153,1,9,female,3,2,1,1,2,3,2,1,2,2,3,2,3,1,2,3,2,1,1,3,2,3,4,5
154,1,4,female,4,2,1,2,1,4,3,1,1,4,4,1,4,4,1,4,1,2,1,1,1,1,1,2
155,1,12,female,4,2,2,3,2,3,4,1,1,2,3,2,2,3,2,4,2,3,4,1,1,2,2,2
156,0,6,female,4,4,4,4,4,4,1,3,4,4,3,3,3,3,4,3,2,3,2,3,2,3,4,5
157,1,19,female,3,2,1,2,2,3,2,1,1,2,4,1,1,1,1,NA,NA,NA,NA,NA,1,2,8,NA
158,1,14,male,4,1,1,1,2,4,1,3,1,1,3,2,1,1,1,4,1,1,1,1,2,3,4,5
159,0,11,female,3,2,1,2,2,3,1,1,2,1,3,1,1,1,2,3,3,2,3,3,2,3,4,5
160,1,13,male,3,3,1,2,2,3,3,2,2,2,3,3,2,3,3,4,3,2,3,4,1,2,3,4
161,0,6,female,3,1,1,1,1,4,1,1,1,1,4,2,1,1,1,3,2,1,2,2,1,2,8,8
162,0,22,female,4,2,3,1,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,1,2,2,8,8
163,0,20,male,4,1,1,2,1,4,1,1,2,3,4,1,2,2,2,3,2,2,2,2,2,3,4,5
164,1,14,female,4,1,1,NA,NA,4,1,1,1,1,4,1,2,3,1,3,2,1,1,2,1,2,3,4
165,0,20,male,3,2,1,3,2,4,3,1,4,2,4,1,1,1,1,3,1,1,4,2,1,2,3,4
166,0,6,male,3,2,2,2,2,4,1,1,1,1,4,3,1,1,1,3,2,2,2,3,2,7,7,8
167,1,19,female,3,1,1,3,2,3,1,1,3,1,4,1,1,1,1,3,2,2,2,3,1,3,8,7
168,0,11,female,3,3,1,3,4,3,4,4,4,4,3,2,4,2,4,3,1,2,2,2,1,2,8,3
169,0,22,male,3,1,4,2,3,3,1,1,3,2,3,2,2,2,2,4,1,1,2,2,1,1,1,2
170,1,9,male,4,1,1,1,1,4,1,1,1,1,3,2,3,2,2,4,1,1,2,1,1,1,2,7
171,0,17,male,4,3,2,3,2,3,3,2,2,3,3,3,1,2,2,3,3,2,2,3,2,3,4,5
172,0,2,female,3,2,1,1,1,4,1,1,1,1,4,1,1,1,1,3,4,2,3,2,1,3,4,3
173,1,9,male,3,3,4,2,4,3,4,1,4,2,4,1,1,1,4,3,2,1,1,2,1,1,2,3
174,1,19,male,4,1,1,3,1,3,2,2,2,2,3,3,1,3,1,3,2,2,2,2,1,2,3,4
175,0,21,female,3,1,1,1,4,4,3,1,1,1,3,2,3,2,3,4,1,1,1,1,1,1,3,8
176,0,25,female,3,1,1,1,1,4,2,1,1,1,4,1,2,1,2,4,2,1,2,1,1,2,2,8
177,0,2,female,3,4,2,2,3,4,3,3,4,4,3,2,1,2,2,3,2,2,2,3,1,1,2,3
178,0,7,male,3,2,2,2,3,4,4,2,4,4,NA,NA,NA,NA,NA,4,1,1,2,2,1,2,NA,3
179,1,13,male,3,2,1,2,2,3,3,1,4,3,3,3,1,3,4,3,3,1,3,3,1,2,3,4
180,0,2,male,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,1,2,3,8
181,1,3,male,4,2,1,4,1,3,2,1,4,4,3,1,3,1,4,3,4,4,4,4,2,2,3,4
182,0,22,female,3,2,3,3,2,3,4,4,3,2,4,2,1,2,1,3,4,3,2,4,2,7,7,2
183,1,13,male,3,1,1,3,2,3,2,2,2,3,3,1,1,1,1,3,3,NA,4,4,1,1,2,3
184,1,13,male,3,2,1,2,1,3,1,3,1,3,3,1,2,2,1,3,1,2,2,1,2,3,4,5
185,0,22,male,4,1,1,1,4,3,4,2,2,2,NA,NA,NA,NA,NA,4,2,2,2,3,1,2,NA,4
186,0,25,male,3,3,2,4,4,4,1,2,2,2,3,2,2,3,2,4,1,1,1,1,2,3,4,5
187,1,9,male,3,2,2,2,2,3,4,2,2,2,3,4,4,4,4,3,2,2,2,2,1,2,3,4
188,1,10,male,4,4,2,4,3,3,3,2,3,3,4,2,1,2,1,3,3,2,3,2,1,2,2,4
189,1,19,male,3,2,1,3,3,4,1,1,1,1,3,1,1,1,2,3,1,1,1,2,1,7,7,7
